id,scientific_name,scientific_name_authorship,taxon_rank,accepted_name_usage,taxonomic_status,occurrence_status,establishment_means,degree_of_establishment,accepted_name_usage_id,family
8e3d8af5-9c6a-4895-a5ad-1150f3c752eb,"Gnaphalium indutum",Hook.f.,species,"Gnaphalium indutum",accepted,present,native,native,8e3d8af5-9c6a-4895-a5ad-1150f3c752eb,Asteraceae
7fb49426-c08a-4a87-ba8d-38128f215d1b,"Gnaphalium indutum subsp. acuminatum","Paul G.Wilson",subspecies,"Gnaphalium indutum subsp. acuminatum",accepted,present,native,native,7fb49426-c08a-4a87-ba8d-38128f215d1b,Asteraceae
cf9724f3-59f2-470e-a914-a86aacd03938,"Gnaphalium indutum subsp. indutum",,subspecies,"Gnaphalium indutum subsp. indutum",accepted,present,native,native,cf9724f3-59f2-470e-a914-a86aacd03938,Asteraceae
f9ab5609-30f3-46d1-88b6-cfe2aa257679,"Gnaphalium involucratum",G.Forst.,species,"Euchiton involucratus",homotypicSynonym,excluded,native,native,004eaddb-80a5-4fc5-8d99-b649eda0bab9,Asteraceae
6815728e-c240-415f-92b4-434cbf059820,"Gnaphalium japonicum",Thunb.,species,"Euchiton japonicus",homotypicSynonym,excluded,native,native,b13c7491-faf2-4ce5-9955-e5dd877bb311,Asteraceae
c82ce994-3a29-4ecc-af0e-8ea2a84172ac,"Gnaphalium luteoalbum",L.,species,"Laphangium luteoalbum",homotypicSynonym,excluded,native,native,aeee7042-5a41-4478-8da2-dd4cc238a7a8,Asteraceae
082a5d09-931c-47fb-94d2-c40e4756db68,"Gnaphalium nitidulum",Hook.f.,species,"Argyrotegium nitidulum",homotypicSynonym,excluded,native,native,2d400d0b-d3b3-4f95-a000-de57e9566210,Asteraceae
f384b584-d1c8-4818-9160-498a12150992,"Gnaphalium pensylvanicum",Willd.,species,"Gamochaeta purpurea",heterotypicSynonym,excluded,native,native,97801afc-2890-488c-97c2-a7f43bfab852,Asteraceae
28c0a2cd-9492-401d-8236-9bc3649630ee,"Gnaphalium polycaulon",Pers.,species,"Gnaphalium polycaulon",accepted,present,native,native,28c0a2cd-9492-401d-8236-9bc3649630ee,Asteraceae
e5ac7d04-0243-4e93-a06f-f2c747656d18,"Gnaphalium purpureum",L.,species,"Gamochaeta purpurea",homotypicSynonym,excluded,native,native,97801afc-2890-488c-97c2-a7f43bfab852,Asteraceae
095bd39f-89c0-4c25-b837-5d109a872c11,"Gnaphalium sphaericum",Willd.,species,"Euchiton sphaericus",homotypicSynonym,excluded,native,native,b7a0cf7f-c224-454d-a0de-2ecf76657f6c,Asteraceae
